Country Code,Country,Year,Homicide Rate,Robbery Rate,Gini Index,GNI per Capita,GDP Growth,Average Schooling,Urbanization
1,Brazil,2003,28.08658068,,57.6,6651.4278,-0.051285666,5.804,0.822030001
1,Brazil,2004,26.30016088,,56.5,6968.896487,4.561781957,5.981,0.825210003
1,Brazil,2005,25.57016037,,56.3,7117.869593,2.055571501,6.15,0.828340002
1,Brazil,2006,26.12833694,475.6287346,55.6,7347.541042,2.847962008,6.32,0.831429998
1,Brazil,2007,25.10434349,487.910813,54.9,7742.499715,4.98082992,6.502,0.834480001
1,Brazil,2008,26.10785059,486.6667907,54,8029.711664,4.061722166,6.671,0.837490001
1,Brazil,2009,26.54181631,469.6969498,53.7,7962.709241,-1.073238333,6.769,0.840439999
1,Brazil,2010,26.71709586,552.3585462,,8403.118173,6.522816179,6.878,0.843350001
1,Brazil,2011,26.44514158,550.3690992,52.9,8700.892085,3.013396273,7.006,0.846309999
1,Brazil,2012,28.29482976,491.5371122,53.4,8796.603805,1.007654033,7.216,0.84923
1,Brazil,2013,28.27604367,503.6433691,52.7,9085.118267,2.114256452,7.287,0.852089998
1,Brazil,2014,29.45940868,632.4459071,52,9010.298729,-0.354514802,7.379,0.85492
1,Brazil,2015,28.45576342,758.3511814,51.9,8617.952666,-4.358317179,7.507,0.857700001
1,Brazil,2016,29.68912141,771.3918443,53.3,8248.501589,-4.057423002,7.731,0.860420002
1,Brazil,2017,30.69182795,806.490955,53.3,8311.797611,0.523296589,7.852,0.86309
1,Brazil,2018,26.72467739,695.7591689,53.9,8316.01281,0.978938493,7.982,0.865690002
1,Brazil,2019,20.8827768,560.5414339,53.5,8362.513529,0.448280407,8.129,0.868239998
1,Brazil,2020,22.45113506,,48.9,8029.707384,-4.515931181,8.129,0.870729999
2,Colombia,2003,56.70396437,,53.6,4008.583364,2.390448042,7.02,0.752110001
2,Colombia,2004,48.03218599,130.9037492,55,4158.718455,3.839378166,7.073,0.756200008
2,Colombia,2005,42.46650308,95.28525679,53.9,4339.526059,3.406895648,7.284,0.76024
2,Colombia,2006,40.4598043,127.1570702,,4566.045583,5.339723444,6.803,0.76423001
2,Colombia,2007,39.32093805,117.3066269,,4792.033654,5.422847619,7.189,0.768159995
2,Colombia,2008,36.47047839,109.1899911,55.3,4868.586051,2.084242363,7.321,0.772040009
2,Colombia,2009,35.34520875,136.4624052,54.3,4892.944091,0.001662279,7.247,0.775869991
2,Colombia,2010,34.18416048,135.8587642,54.6,5025.5997,3.323734506,7.394,0.779639999
2,Colombia,2011,35.31762993,148.6134857,53.5,5269.111672,5.784699766,7.519,0.783350003
2,Colombia,2012,35.68039662,179.3721253,52.6,5441.530647,2.837889026,7.626,0.787009996
2,Colombia,2013,33.16235475,201.6152448,52.6,5686.809212,4.098265909,7.833,0.790610002
2,Colombia,2014,28.40888163,200.923162,52.6,5927.559215,3.513953479,7.992,0.794150006
2,Colombia,2015,26.89777061,213.2566868,51,6147.255483,1.990616494,8.047,0.797640004
2,Colombia,2016,25.74361732,304.3940921,50.6,6221.674672,1.002272725,8.222,0.801079991
2,Colombia,2017,25.01950323,244.3904749,49.7,6172.203371,-0.161953875,8.363,0.804459998
2,Colombia,2018,25.3438026,,50.4,6161.168312,0.638439616,8.504,0.807780004
2,Colombia,2019,23.99708714,,51.3,6261.658888,1.314952378,8.643,0.811040003
2,Colombia,2020,22.64022613,,54.2,5812.187271,-8.404642889,8.863,0.814249994
3,France,2003,1.638131016,207.9380775,31.4,34518.03708,0.109402979,10.046,0.766319993
